replayId,commandsParsed,messagesEnumerated,finalStructuralTick,finalStructuralSourceOffset,fileSizeBytes,byteCoveragePercent,malformedCommandCount,malformedMessageCount,tickRegressions,structuralCompletionStatus
replay_001,191537,4152408,191431,675628880,675628880,100,0,0,0,completed_to_eof
replay_002,117516,2422602,117423,396772195,396772195,100,0,0,0,completed_to_eof
replay_003,146010,3130096,145912,501017569,501017569,100,0,0,0,completed_to_eof
replay_004,128869,2961797,128775,456466546,456466546,100,0,0,0,completed_to_eof
replay_006,59702,950528,59600,175729130,175729130,100,0,0,0,completed_to_eof
